Instance 	 p 	 q 
91 	 [10, 30, 26, 49, 36, 89, 81, 31, 4, 45, 9, 27, 37, 21, 100, 54, 39, 99, 15, 73, 23, 83, 27, 33, 52, 39, 66, 94, 57, 13, 48, 78, 89, 78, 81, 67, 68, 32, 52, 58, 38, 91, 14, 58, 89, 17, 41, 22, 68, 94] 	 [43, 89, 75, 98, 17, 71, 32, 60, 92, 22, 64, 87, 45, 75, 2, 53, 7, 64, 52, 10, 6, 81, 47, 61, 89, 71, 73, 78, 48, 52, 59, 96, 1, 22, 73, 91, 37, 19, 10, 90, 49, 24, 57, 55, 9, 7, 15, 12, 20, 56] 
92 	 [37, 63, 40, 10, 40, 41, 35, 6, 46, 61, 50, 4, 64, 12, 25, 46, 33, 68, 5, 14, 65, 27, 35, 57, 51, 63, 69, 59, 7, 4, 39, 77, 22, 65, 82, 60, 86, 44, 74, 55, 29, 26, 54, 69, 35, 36, 54, 31, 67, 90] 	 [88, 38, 97, 43, 65, 81, 35, 15, 89, 89, 65, 76, 92, 82, 15, 97, 100, 66, 48, 74, 93, 93, 12, 20, 55, 79, 58, 11, 59, 14, 72, 12, 97, 11, 55, 49, 35, 25, 95, 54, 59, 52, 7, 34, 81, 30, 98, 2, 12, 67] 
93 	 [34, 59, 78, 4, 29, 66, 79, 57, 34, 56, 76, 91, 100, 43, 89, 10, 59, 23, 24, 42, 87, 82, 41, 89, 68, 72, 5, 64, 81, 26, 88, 35, 92, 8, 63, 81, 80, 99, 75, 11, 64, 58, 81, 94, 27, 56, 74, 25, 44, 77] 	 [20, 10, 72, 71, 88, 30, 58, 20, 25, 53, 82, 18, 90, 51, 66, 45, 64, 4, 56, 83, 45, 88, 61, 31, 81, 56, 81, 50, 11, 3, 98, 81, 36, 92, 78, 9, 73, 11, 25, 96, 57, 23, 91, 16, 32, 31, 91, 80, 62, 25] 
94 	 [44, 9, 96, 9, 81, 25, 92, 8, 18, 40, 17, 13, 19, 5, 55, 92, 82, 85, 43, 50, 51, 9, 53, 14, 61, 24, 31, 29, 38, 20, 87, 87, 7, 52, 41, 9, 17, 99, 34, 1, 92, 99, 76, 84, 28, 44, 76, 42, 76, 81] 	 [76, 44, 46, 58, 48, 84, 76, 4, 92, 96, 27, 46, 11, 95, 77, 21, 82, 70, 28, 21, 99, 44, 67, 25, 70, 22, 59, 95, 26, 12, 41, 31, 83, 100, 4, 99, 53, 23, 51, 54, 41, 24, 37, 63, 94, 72, 19, 59, 55, 90] 
95 	 [32, 25, 34, 87, 11, 74, 69, 3, 88, 89, 35, 6, 21, 96, 58, 38, 62, 35, 29, 64, 72, 13, 67, 96, 7, 91, 1, 72, 29, 34, 16, 97, 43, 5, 20, 82, 71, 42, 45, 11, 67, 7, 66, 17, 56, 79, 6, 24, 94, 28] 	 [75, 48, 84, 22, 47, 88, 49, 29, 82, 15, 62, 75, 76, 76, 25, 44, 98, 74, 2, 58, 64, 94, 34, 23, 84, 13, 87, 91, 51, 57, 23, 50, 46, 75, 61, 11, 13, 10, 56, 54, 62, 1, 50, 23, 74, 34, 63, 7, 89, 79] 
96 	 [96, 32, 33, 46, 36, 51, 15, 49, 15, 46, 85, 76, 46, 21, 66, 55, 57, 82, 32, 10, 48, 49, 99, 86, 43, 1, 42, 26, 49, 25, 61, 88, 55, 11, 17, 89, 3, 83, 37, 5, 83, 22, 26, 79, 21, 33, 11, 52, 5, 57] 	 [71, 27, 46, 79, 17, 6, 34, 19, 71, 18, 76, 50, 5, 7, 28, 44, 30, 10, 21, 4, 42, 10, 48, 86, 98, 45, 99, 49, 77, 64, 42, 37, 28, 39, 41, 87, 20, 31, 86, 89, 75, 72, 38, 13, 36, 11, 51, 33, 92, 34] 
97 	 [51, 26, 25, 29, 65, 51, 44, 26, 76, 3, 81, 94, 68, 28, 85, 17, 28, 81, 85, 9, 72, 76, 53, 38, 24, 33, 83, 98, 94, 30, 79, 46, 14, 69, 13, 37, 77, 55, 20, 24, 74, 60, 13, 57, 27, 58, 29, 18, 95, 66] 	 [88, 64, 63, 16, 39, 53, 32, 27, 64, 87, 19, 88, 46, 63, 19, 91, 36, 48, 66, 59, 11, 98, 72, 41, 24, 90, 32, 53, 47, 44, 62, 97, 15, 43, 87, 5, 40, 93, 68, 63, 89, 23, 55, 11, 27, 72, 97, 80, 21, 9] 
98 	 [69, 32, 53, 82, 85, 7, 77, 88, 17, 63, 46, 76, 11, 69, 39, 71, 54, 13, 3, 94, 89, 46, 27, 84, 3, 29, 2, 7, 34, 16, 89, 72, 95, 61, 75, 36, 89, 97, 95, 67, 88, 81, 29, 35, 97, 63, 68, 98, 49, 81] 	 [74, 77, 43, 80, 81, 74, 54, 41, 57, 61, 44, 13, 91, 46, 41, 73, 81, 82, 6, 52, 23, 51, 46, 76, 58, 28, 17, 6, 12, 40, 66, 50, 90, 86, 83, 75, 77, 58, 7, 77, 61, 3, 97, 58, 54, 37, 83, 10, 36, 6] 
99 	 [73, 75, 4, 6, 87, 60, 18, 79, 38, 33, 41, 70, 30, 72, 51, 1, 28, 96, 92, 8, 1, 4, 40, 51, 85, 54, 90, 57, 73, 36, 54, 41, 5, 5, 75, 99, 20, 84, 44, 28, 29, 35, 35, 15, 65, 78, 19, 81, 36, 42] 	 [9, 53, 3, 8, 34, 47, 74, 26, 11, 97, 44, 32, 26, 54, 56, 51, 87, 49, 28, 52, 18, 59, 76, 25, 86, 79, 18, 99, 70, 57, 36, 92, 14, 68, 24, 33, 59, 48, 30, 34, 44, 62, 38, 63, 5, 74, 63, 85, 41, 90] 
100 	 [93, 10, 69, 68, 9, 69, 25, 88, 4, 13, 98, 63, 59, 76, 96, 63, 20, 82, 20, 24, 8, 55, 3, 82, 16, 79, 40, 92, 100, 99, 1, 45, 31, 15, 91, 2, 36, 17, 95, 69, 85, 8, 84, 8, 13, 93, 87, 2, 53, 3] 	 [22, 18, 97, 81, 63, 44, 19, 77, 21, 14, 37, 49, 72, 67, 43, 76, 48, 33, 53, 30, 3, 28, 3, 98, 58, 62, 83, 88, 79, 29, 93, 72, 94, 59, 2, 27, 99, 44, 30, 38, 96, 42, 41, 70, 95, 91, 98, 40, 67, 99] 
